County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Wayne County,GA,29949,30099,-0.5,6.8,24.4,14.7,48.1,76.2,20.7,0.6,0.6,0.1,1.9,6.3,71,2611,2.9,81.3,11.4,12118,6.5,69.1,80400,4,10171,2.76,83.8,5.6,23.4,35830,17270,22.7,329,6634,0,3103,10703,46.9,641.78
Lawrence County,PA,88771,91108,-2.6,5.4,20.5,19.9,51.7,93.5,4.1,0.1,0.5,0,1.8,1.2,92.5,7787,1.4,88.3,19.6,40745,13.6,75.3,96700,41,36823,2.39,91.8,3.9,22.4,43546,22906,14.4,733,17451,0,9496,10447,254.4,358.18
Pleasants County,WV,7634,7605,0.4,4.6,19.4,18.3,46.4,97,1.5,0.2,0.1,0,1.1,0.9,96.2,674,0.3,89.2,10.5,3376,8.7,83.7,97300,5,2747,2.58,90.7,0.9,27.7,41859,21312,14.6,65,0,0,404,5404,58.5,130.1
McDonough County,IL,31880,32612,-2.2,4.8,16.6,14.9,50.5,90.3,5.4,0.3,2.2,0,1.8,2.7,88.1,2407,3.4,91.7,33.3,14390,25.9,61,86400,8,12620,2.18,70.6,5.9,15.5,36031,20042,23.1,527,2487,0,3381,10221,55.3,589.41
Ector County,TX,153904,137130,12.2,9,29.8,9.6,49.6,91.1,4.9,1.4,1.1,0.2,1.4,57.5,36,7071,13.7,72.9,13.5,56500,19.9,65.7,91200,556,49962,2.8,81.6,43.4,20.4,51466,24247,15.9,2285,20496,20042,20906,16222,152.8,897.69
Newton County,MS,21832,21720,0.5,6.8,25.4,16.2,52,63.4,30.3,4.9,0.4,0,0.9,1.7,62.2,1839,1,83.3,14.7,9371,4.1,77.6,72100,0,7931,2.64,87.5,4.4,26.4,39190,18864,18.6,111,2907,91,1466,6500,37.6,578.1
Cortland County,NY,49024,49336,-0.6,4.8,19.6,15,51.2,94.8,1.9,0.3,1.1,0,1.8,2.6,92.7,3432,2.1,90.1,23.5,20515,28.9,65.9,105700,42,18069,2.53,84.7,4.4,20.9,47151,23179,14.7,846,6037,0,5231,10828,98.9,498.76
Corson County,SD,4182,4050,3.3,9.4,34.6,10.5,48.7,32.2,0.2,64,0.4,0.1,3.1,3.9,31.5,316,0.5,83,13.8,1534,8,52.9,48900,0,1185,3.44,89.2,17.2,20.2,30880,14262,44.2,0,0,0,105,2536,1.6,2469.69
Perry County,IL,21672,22350,-3,4.9,19.4,17.3,45.6,88.6,8.8,0.4,0.5,0.1,1.7,3.1,86.1,1880,1.8,84.5,14.3,9465,11.9,76.7,78000,50,7982,2.51,85.9,3,28.1,42078,19716,18.4,153,3690,429,1682,7452,50.6,441.76
Fairfax City County,VA,24483,22565,8.6,9,23.5,15.4,50.7,73.3,5.4,0.8,17,0.1,3.4,16.6,58.8,1752,25.2,92,51.9,8810,23.7,68.4,456700,54,8492,2.65,81.7,31.8,31.7,97242,44345,7.2,1402,0,1922,18840,80800,3616.8,6.24
Adair County,OK,22186,22683,-2.2,6.8,26.8,14.5,49.7,44.6,0.5,44,0.6,0,10.3,6.1,41.9,1691,2.5,77.4,12.7,9219,6,70.8,75300,25,8046,2.76,93.2,8.8,23.5,32556,15116,26.4,60,4144,0,1083,4941,39.6,573.48
Crane County,TX,4950,4375,13.1,8.4,30,11.3,50.2,93.3,3,1.6,0.7,0.1,1.3,61.9,34.1,228,16.5,68.9,13.6,1662,2.1,75.8,66800,1,1571,2.79,82.6,48.4,24.5,50417,22291,13.8,10,0,232,478,12379,5.6,785.07
Glasscock County,TX,1291,1226,5.3,6,25.9,14.4,45.8,96.4,1.7,0.9,0.1,0.2,0.8,34.1,63.1,39,14,77.9,18.8,581,0.7,69.2,119100,0,409,2.84,93,27,22,69107,31135,4.2,0,0,0,0,0,1.4,900.22
Union County,AR,40227,41639,-3.4,6.5,23.9,16.6,51.4,64.4,32.6,0.6,0.8,0.1,1.5,3.6,61.5,3090,2.1,82.4,16.1,19676,8.2,69.3,75000,87,16596,2.45,86.1,4,18.2,37435,20718,21.5,399,39018,0,5263,12261,40.1,1039.21
La Salle County,TX,7474,6886,8.5,6.7,20.7,13.2,41.3,96.8,1.1,0.8,0.5,0,0.8,84.4,13.9,267,7.7,52.9,5.1,2878,13.6,71.1,48200,24,1864,3.29,82.5,62.4,27.6,26756,13307,21.7,53,0,0,798,13480,4.6,1486.69
Dallas County,AR,7755,8116,-4.4,5.5,22.3,20.5,51.7,56.4,41.3,0.5,0.2,0,1.5,2.7,54.1,444,2.5,82.1,10.2,4289,8.9,66.4,59200,1,3269,2.32,88.1,3.4,20.2,28931,16838,19.7,46,1845,108,796,9727,12.2,667.39
