County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Clinton County,IN,32776,33224,-1.3,6.9,26.3,15.8,50.5,97.8,0.6,0.4,0.3,0,0.9,14.9,83.4,2051,6.5,84.7,13,13248,12.7,72.1,97300,24,11745,2.76,84.7,12.5,22.1,48953,21554,13.9,250,22834,0,2235,6579,82,405.07
Trego County,KS,2902,3001,-3.3,4.4,18,24.2,50.6,97.4,0.7,0.3,0.4,0.1,1.1,2,95.6,306,1.5,90.2,21.5,1676,9.9,74.8,74500,0,1232,2.35,83.9,5.4,14.8,45714,23095,6.7,40,0,241,404,13740,3.4,889.48
Cass County,NE,25524,25241,1.1,6,24.6,16.1,49.6,97,0.5,0.5,0.5,0.1,1.5,3.1,94.3,3091,1.3,94,23.6,11250,6.8,79.2,146700,63,9701,2.57,90.7,3.4,27,64697,29638,6.4,142,0,990,1836,7196,45.3,557.45
Walton County,GA,87615,83768,4.6,6.2,25.9,14.2,51.3,79.6,17,0.4,1.4,0.1,1.5,3.9,76.5,5764,4.4,83.1,18.4,32544,9.3,75.1,157100,271,29520,2.84,86.9,6.4,31.3,52369,22824,13.8,583,5918,2604,7971,9577,257.2,325.68
Norfolk County,MA,692254,670850,3.2,5.4,21.6,15.7,52.1,80.9,6.9,0.2,10.2,0,1.8,4,77.8,38108,15.5,93.7,49.2,272940,37.2,69.3,391100,1594,257451,2.56,88.7,19,31.5,84916,44692,6.6,12940,103407,123988,112414,17133,1693.6,396.11
Crow Wing County,MN,63265,62500,1.2,5.9,22.2,20.7,50.1,96.4,0.6,0.9,0.5,0,1.5,1.4,95.3,5869,1.4,92,22.5,40892,10.9,74.5,180300,331,26963,2.3,86.4,2.2,21.5,47058,26527,12.9,1495,0,2786,11419,18535,62.6,999.1
Beaver County,PA,169392,170539,-0.7,5.1,19.7,19.7,51.6,91.1,6.4,0.1,0.5,0,1.8,1.4,89.9,15600,1.8,91,21.9,78381,17,73.4,115400,141,70867,2.35,89.7,3.5,25.1,49217,26258,12.2,1563,47088,11800,15552,8989,392.3,434.71
Sedgwick County,CO,2348,2379,-1.3,5.2,20.3,24.4,50,95.4,0.5,1,1.4,0,1.7,15.1,82.1,230,3.2,86.8,15,1408,12.9,68.6,81400,1,943,2.47,78.5,10.3,18.9,40221,21536,18.9,16,0,0,333,14305,4.3,548.04
Pierce County,ND,4404,4357,1.1,6.3,22.1,22.8,49.3,93.9,0.6,4.5,0.1,0,0.9,1.4,92.9,347,0.7,82.3,12.4,2222,13.2,72.3,83100,4,1983,2.08,87.7,4.3,14.2,42975,23491,14.3,30,0,858,856,20927,4.3,1018.6
Morton County,ND,29822,27471,8.6,6.8,23.3,14.9,49.4,92.6,0.9,3.9,0.4,0.1,2,2.7,90.8,2036,0.6,90.2,24.1,13875,15.3,79.3,147900,509,11416,2.39,85.9,5.5,19.5,60065,29389,8.5,260,0,2381,3421,13238,14.3,1926.27
Clatsop County,OR,37474,37039,1.2,5.3,19.6,19.3,50.6,93.1,0.9,1.3,1.6,0.3,2.8,8.1,86.1,3979,5.8,91.5,23.2,21801,21.5,62.7,256500,102,15749,2.3,81.1,8.2,18.2,44683,25680,16.5,1605,6836,755,6044,16299,44.7,829.05
Forest County,PA,7518,7716,-2.6,1.5,7.4,21.3,32.9,79.4,19,0.5,0.2,0,0.9,5.9,74.6,1008,1,81.6,7.8,8675,1.7,83.1,83600,4,2001,2.37,85.8,5.9,26.7,36556,13646,16.3,83,0,0,192,2779,18.1,427.19
Barton County,MO,12057,12402,-2.8,5.7,25,18.6,50.7,94.7,0.8,1.3,0.5,0.1,2.6,2.5,92.9,991,2.2,85.8,16.9,5568,7.9,75.3,84700,2,5065,2.42,89,3.2,19.3,40580,20678,18.7,84,1743,760,1351,10623,21,591.92
McCurtain County,OK,33050,33151,-0.3,7.3,25.7,17,51,67.2,8.7,15.9,0.6,0.8,6.8,5.5,63.5,2605,1.5,80.8,13.9,15578,7.5,68.1,71500,8,13078,2.49,87.8,4,22.2,31790,17615,26.1,216,13616,957,2610,7800,17.9,1850.01
Screven County,GA,14085,14593,-3.5,6.6,22.7,16.8,51.2,56.2,41.7,0.4,0.5,0,1.3,1.7,55.1,946,0.4,78.9,13,6650,5.9,70.8,77000,10,5165,2.72,88.2,1.8,28.7,34848,18640,27,82,1838,175,935,6219,22.6,645.1
Humphreys County,MS,8741,9375,-6.8,7.4,27.4,14.2,52.9,23.5,75,0.1,0.4,0.1,1,2.5,22,499,0.8,64.1,10.9,3832,11.7,54.3,63000,0,3107,2.95,88.9,0.8,19,23600,12874,44.9,43,0,151,813,8198,22.4,418.49
Fairfax County,VA,1137538,1081726,5.2,6.7,23.8,11.5,50.5,66.6,10,0.7,19.2,0.1,3.5,16.4,52,83545,29.5,91.8,58.6,410287,27.9,69,476600,2249,389908,2.8,85.7,37.3,32,110292,50532,5.9,27057,20526,132994,140023,13925,2766.8,390.97
Boone County,AR,37196,36903,0.8,6,22.6,19.8,50.8,96.3,0.4,0.8,0.6,0.1,1.8,2.3,94.3,3280,1.3,85.4,15.4,16904,9.5,72.6,106400,12,15086,2.43,83.8,2.5,19.7,38506,22160,16.6,418,0,0,4668,12738,62.5,590.23
Essex County,VT,6125,6306,-2.9,4.3,17.6,23.3,49.6,97.2,0.4,0.6,0.4,0,1.4,1.3,96.1,659,4.2,83.3,14.7,5040,7.5,81,122200,9,2774,2.26,91.2,8.7,27.5,35916,20887,15.9,30,627,0,150,2325,9.5,663.6
Macon County,IL,108350,110768,-2.2,6.2,22.4,17.9,52.2,78.9,17.1,0.3,1.2,0,2.6,2.1,77.2,9711,2.1,88.1,22.3,50353,17.4,69.2,93300,53,45142,2.36,84,3.4,18.2,46559,26232,17.6,1708,95908,0,14506,13342,190.8,580.69
Wheeler County,NE,766,818,-6.4,6.4,20.1,21.9,49.3,98.8,0,0.1,0.5,0,0.5,0.9,97.9,71,1.6,95.2,17.5,576,1.4,71.2,87100,0,379,2.29,95.2,0,14,38807,25898,16,0,0,0,0,0,1.4,575.18
Hunterdon County,NJ,126067,128349,-1,3.9,21.2,15.7,50.6,92,2.7,0.2,3.7,0.1,1.2,6.2,86.5,7291,8.4,94.2,47.6,49705,14.9,84.5,404300,348,46816,2.61,91.7,10.8,33.6,106143,50349,4,1757,0,6294,21866,16865,300,427.82
Grant County,AR,18144,17853,1.6,5.7,23.5,16.1,50.3,94.8,2.8,0.5,0.4,0,1.4,2.6,92.7,1594,1.9,84.9,17.6,7837,4.7,77.8,100800,9,6855,2.59,90.3,3.1,29.9,49004,23239,9.9,101,4898,485,1076,6148,28.3,631.81
Umatilla County,OR,76705,75889,1.1,7.2,25.8,14.1,47.7,90.9,1.1,4.3,1.1,0.2,2.4,25.7,67.3,6356,10,81.9,15.5,29700,17.2,63.8,142700,93,26744,2.7,82.4,20.8,16.9,48389,20836,16.5,1593,0,2845,7636,10482,23.6,3215.51
Pepin County,WI,7335,7469,-1.8,5.2,21.9,20.8,50,98.1,0.6,0.3,0.3,0,0.7,1.4,96.9,557,1,90,17.1,3612,13.7,77.4,134800,18,3085,2.36,93.2,5.8,25.5,47701,24367,12.5,0,0,1346,900,12207,32.2,231.98
DeKalb County,GA,722161,691893,4.4,7.3,23.7,10.4,52.5,36.7,54.8,0.5,5.9,0.1,2,8.9,29.9,41447,16.3,88.4,39.7,306954,36.2,56.7,168900,1231,264496,2.59,81.2,18.6,30.7,50856,28810,19,12077,74890,93611,79733,10867,2585.7,267.58
Bon Homme County,SD,7023,7070,-0.6,4.5,19.4,20,42,89.7,1.3,7.4,0.2,0,1.3,2.2,88,671,1.1,88.6,17.9,2946,11.2,77.6,69700,20,2501,2.29,82.8,7.2,18.3,40980,20941,14.7,22,0,431,407,5807,12.5,563.7
Sunflower County,MS,27496,29450,-6.6,6.3,23.3,11.6,47.2,25.8,73,0.3,0.4,0,0.6,1.5,25,1321,0.7,70.2,13,9698,15.7,58.6,69500,7,8394,2.92,83.3,2.4,18,26619,12588,36.1,150,0,0,2113,6825,42.2,697.75
Monroe County,IA,8001,7970,0.4,5.5,23.6,19,49.8,97.3,0.6,0.1,0.8,0,1.2,2.4,95.2,645,4.3,86.7,19.3,3892,7.9,75.5,95200,82,3361,2.34,84.8,5.1,25.1,45997,24508,11.8,0,0,461,624,8256,18.4,433.72
Midland County,MI,83427,83629,-0.2,5.2,21.9,16.4,50.8,94.2,1.4,0.5,2.4,0.1,1.4,2.5,92,5991,3.8,92.2,32.3,36274,14.7,75.4,128600,262,33717,2.45,85.4,4.9,19.9,53076,29536,13.4,1080,28212,0,8692,10524,162,516.25
Ouachita County,AR,24828,26120,-5,6.2,23,18.3,52.6,57,40.3,0.4,0.5,0.1,1.8,2.2,55.4,2039,1,84.7,15.5,13067,8.9,66.3,70000,3,10733,2.36,89.4,1.6,22.7,32015,18975,23.1,146,0,0,1856,7135,35.6,732.78
Franklin County,PA,152892,149618,2.2,6.1,22.9,18.2,51,92.9,3.9,0.3,1.1,0.1,1.8,5,89,13036,3.5,85.3,19.3,64125,15.7,73,177500,356,58273,2.54,88.1,7.2,23.2,52637,25741,11,1645,32443,0,17499,12323,193.7,772.22
Coconino County,AZ,137682,134421,2.4,6.1,21.8,11.1,50.6,66.4,1.6,27.3,1.8,0.2,2.8,13.9,54.9,8084,5.3,87.6,31.1,64217,19.1,59.5,220400,560,46198,2.74,79.8,23.5,18.7,49555,23382,23,7176,15268,4756,16916,13273,7.2,18618.89
Coshocton County,OH,36516,36901,-1,6,23.5,17.9,50.5,96.9,1.2,0.3,0.3,0,1.2,0.9,96.2,3352,0.5,84.9,12.3,16356,10.5,73.9,93300,3,14495,2.51,88.8,5.3,23.9,41274,20526,16.9,226,12228,0,2591,7151,65.4,563.91
Calhoun County,IL,4956,5089,-2.6,5.2,20.4,22.8,49.9,98.8,0.3,0.2,0.3,0,0.4,1.1,97.7,444,1.6,89,14.4,2835,5.7,81.5,112300,12,2061,2.41,90.9,1.6,39.6,50436,26924,11.9,53,0,0,223,4376,20,253.83
Wibaux County,MT,1121,1017,10.2,4.6,21.3,24.6,48.9,97.7,0.1,0.4,0.4,0.1,1.2,2.5,95.4,82,0.4,84,19.6,536,6.8,70.9,102700,5,409,2.22,91.1,0.3,16.9,41875,27492,13.3,10,0,0,43,4767,1.1,889.27
Carroll County,GA,114093,110527,3.2,6.4,24.2,12.5,50.9,77.3,19.1,0.5,1,0.1,2,6.5,71.8,7343,4.4,79.7,18.3,44757,13.7,66.7,118500,111,39494,2.72,80.4,7.7,28.5,46147,21227,18.9,1424,31755,9858,12524,11190,221.5,499.08
Wilkin County,MN,6495,6576,-1.2,5.8,23,18.1,48.9,96.6,0.4,1.4,0.4,0,1.2,2.4,94.5,556,0.5,90.1,16.5,3073,14.5,77.3,107300,12,2685,2.39,89.5,3,17.3,50507,25148,9.2,51,0,0,562,8675,8.8,750.96
Koochiching County,MN,12856,13311,-3.4,4,18.9,21.8,50.2,94.6,0.7,2.5,0.4,0,1.7,1.3,93.7,1225,5.1,89.3,17.2,7868,12.1,76.4,101200,9,6134,2.11,87.7,3.8,16.8,41108,26045,14.1,212,0,167,1649,12325,4.3,3104.07
Racine County,WI,195163,195408,-0.1,6.2,23.9,14.7,50.5,84.2,11.7,0.6,1.3,0.1,2.2,12.5,73.1,14054,5,87.8,23,82265,27.2,69.5,170100,207,75087,2.53,89.2,9,23.2,54090,27141,13.3,2426,78633,0,22300,11172,587.7,332.5
Uintah County,UT,36867,32588,13.1,9.8,33.8,9.1,49.1,88.4,0.6,7.7,0.5,0.5,2.2,8,82,1934,3.7,86.2,16.2,13176,11.2,75,187900,322,11007,3.04,85.1,8.6,19,62067,23805,11.6,465,0,0,4614,15958,7.3,4479.69
Mason County,WV,27016,27324,-1.1,5.3,21.2,18.8,51.9,97.4,0.9,0.2,0.4,0.1,1.1,0.6,96.8,2950,0.4,81.7,10,12945,6.5,79.5,83900,1,10609,2.5,89.7,1.3,26.3,38411,20622,19,120,0,0,1353,5320,63.4,430.75
Livingston County,NY,64586,65393,-1,4.3,18.7,15.8,49.9,93.7,3,0.4,1.4,0,1.5,3.4,90.9,4932,2.9,89.2,24.4,27315,17.8,74.4,119300,62,24092,2.44,86.2,5.9,24.6,53518,23978,13.4,708,4639,2198,5864,9291,103.5,631.76
Lehigh County,PA,357823,349497,2.3,5.9,22.8,16,51.3,84.7,8.4,0.8,3.5,0.1,2.4,21.5,68.1,23497,9.8,86.8,28.1,143377,23.9,67.5,196600,773,133289,2.57,85.4,22.1,24.2,54923,27923,13.7,5462,70315,0,50812,15047,1012.5,345.17
Boone County,IN,61915,56640,9.3,6.6,27,12.6,50.5,94.4,1.5,0.3,2.3,0,1.4,2.6,92.1,3333,3.4,93.5,41,25212,13.7,76.8,179000,526,21908,2.62,89.4,4.4,24.1,67255,37482,7.5,544,0,3863,4844,8970,133.9,422.91
Kandiyohi County,MN,42285,42239,0.1,6.4,23.6,17.4,50,94.4,3.5,0.4,0.6,0.1,1,11.4,83.6,2922,4.9,88.6,20.7,19606,17.8,73.4,161800,98,17120,2.41,86.6,11.1,17.5,50149,26880,13.6,519,8186,0,5975,14621,53,796.79
Pennington County,MN,14058,13930,0.9,6.7,23.1,16.4,50.2,94,1.3,1.9,0.9,0,1.8,3.4,91.4,1072,2.1,89.8,16.1,6377,17.2,75.4,107900,16,5806,2.35,88.6,4.6,15.1,45633,24554,10.9,433,0,0,2095,15204,22.6,616.57
Richland County,IL,16061,16233,-1.1,5.8,22,20,50.6,97.2,0.6,0.2,0.8,0,1.1,1.5,95.9,1469,1.6,90.6,20.4,7478,10.2,74.9,78100,4,6620,2.41,88.9,3.7,17.5,44070,23621,14.2,142,945,2503,1614,10346,45.1,359.99
Barry County,MO,35662,35597,0.2,6.4,23,20.2,50.2,95.1,0.5,1.3,1.4,0.1,1.7,8.8,87.1,3445,4.4,82.2,13.3,17384,7.3,75.9,107500,13,13464,2.62,83.9,8,22.4,38710,19489,19.1,257,14098,1347,4137,11466,45.7,778.25
Charlotte County,FL,168474,159978,5.3,3.1,13,37.7,51.3,90.5,6.2,0.3,1.4,0.1,1.5,6.7,84.7,24867,9.7,88.8,21.2,101365,19.6,79,143700,610,70545,2.24,84.1,11,23.3,44378,26286,12.6,1780,0,2117,18981,12072,235.2,680.28
Ada County,ID,426236,392365,8.6,6.2,25.1,12.6,49.9,92.4,1.3,0.8,2.6,0.2,2.7,7.7,85.5,29195,5.9,93.6,36,167215,16.8,68.1,183600,3968,151600,2.6,82.5,8.4,19.6,55210,27452,13.1,7959,49423,60069,58551,15720,372.8,1052.58
Cass County,MO,100889,99478,1.4,6,25,15.5,51.1,92.4,4,0.7,0.8,0.1,2.1,4.3,88.7,8688,2,92,23.3,40488,10.8,77.6,154900,305,37307,2.65,87.1,3.5,27.8,60350,27463,8.9,823,4837,3515,8986,9180,142.8,696.84
Cibola County,NM,27349,27213,0.5,7.4,24.5,14.2,48.9,54,1.4,41.7,0.6,0.1,2.1,37.8,20.8,1858,5.2,79.9,10.4,11086,7.9,72.4,83800,0,8016,3.15,88.2,44.3,22.8,37237,16129,27.6,1173,0,158,2174,7992,6,4539.48
District of Columbia,DC,658893,601723,9.5,6.5,17.5,11.3,52.6,43.6,49,0.6,4,0.2,2.6,10.4,35.8,30520,13.8,88.4,52.4,306174,62.3,42.1,445200,4189,263649,2.2,80.6,15.8,29.7,65830,45290,18.6,42781,3328,21179,38437,6555,9856.6,61.05
Randolph County,MO,25072,25414,-1.3,5.8,22.1,15.4,47.5,90.9,5.9,0.4,0.6,0,2.2,1.9,89.3,2006,0.4,84.6,13.6,10659,9.5,71.4,84600,14,8925,2.59,85.1,1.5,20.9,37203,17587,19.4,217,1968,0,2934,11460,52.7,482.68
Washington County,AR,220792,203065,8.7,7.4,25.3,10.7,49.9,87.3,3.5,1.5,2.6,2.5,2.6,16.2,72.2,12056,11.6,82.6,28.7,89775,31.3,55.9,148800,1131,79214,2.53,75.2,18,20.6,41248,23264,20.7,3556,34975,13281,27232,13987,215.6,941.97
Lawrence County,MS,12502,12929,-3.3,6.1,24,16.2,51,67,31.4,0.3,0.3,0,0.9,1.9,65.6,1067,0.2,82.3,12.9,6034,4.2,80,79600,5,4830,2.63,94.1,1.3,35.8,38393,20655,18.8,40,0,0,467,3530,30,430.67
Wirt County,WV,5845,5717,2.2,5.4,21,18.4,49.5,98,0.3,0.2,0.2,0,1.2,0.7,97.3,529,0.4,85.6,10.9,3228,1.7,83.3,73100,19,2427,2.39,94.3,0.8,31.3,34702,21852,19.3,8,0,0,143,2509,24.6,232.51
Live Oak County,TX,12091,11531,4.9,4.9,20,19.8,46.2,92.3,4.9,1.2,0.7,0,0.9,37.5,56.3,1218,5.1,79.6,14.3,6106,2.9,81.8,85500,12,3882,2.58,88.4,28.4,27.3,42829,21016,17.1,116,0,252,1127,9981,11.1,1039.7
Ransom County,ND,5446,5457,-0.2,5.6,22.9,20.7,48.9,97,0.6,0.7,0.4,0,1.3,1.9,95.4,432,0.6,87.9,16.5,2674,14.1,69.6,87400,5,2283,2.32,89.4,3.5,16.6,49788,26137,9.5,42,0,1424,539,9383,6.3,862.36
Page County,IA,15496,15932,-2.8,5.6,20.6,20.8,47.8,94.2,2.4,0.7,1.2,0.1,1.4,2.9,91.7,1590,2,89.3,17.4,7186,11.4,73.2,77700,11,6415,2.27,81.4,3.4,16.4,43010,23496,13.9,125,3482,1164,1630,10243,29.8,534.94
Stevens County,WA,43650,43531,0.3,5.1,22.1,20.7,50,89.4,0.5,5.8,0.7,0.2,3.3,3.5,86.8,5529,3.1,90.6,18.6,21141,5.6,77.5,173500,79,17684,2.44,88.3,3.9,28,41742,21986,16.5,276,3835,471,2816,6712,17.6,2477.77
Botetourt County,VA,33100,33148,-0.1,3.8,20.1,19.9,50.6,94.3,3.5,0.3,0.7,0,1.2,1.5,93.1,3169,1.9,90.2,24.9,14704,4.4,88.1,213100,75,12825,2.55,93.4,2.1,25.6,65935,32490,7.7,0,8838,0,2478,7661,61.2,541.2
Payette County,ID,22836,22623,0.9,6.9,27.1,17,50.5,94.4,0.4,1.6,1,0.1,2.5,16.7,79.2,2002,5,85.4,16.4,9070,8.4,74.6,132700,110,8056,2.79,85.1,11,18,43649,19165,20,127,0,1330,1456,6401,55.6,406.87
Ashland County,WI,16103,16157,-0.3,6.2,22.6,17.5,49.7,84.2,0.5,11.3,0.4,0,3.5,2.4,82.9,1470,1.5,90.5,21.7,9618,14.6,70.9,107400,8,6775,2.27,88.7,3.4,18,38550,21115,18.8,294,2224,301,1935,11918,15.5,1045.04
Matagorda County,TX,36519,36702,-0.5,7.1,25.5,15.8,50.2,83.5,11.5,1.3,2.2,0.1,1.4,40.4,45.7,2636,10.7,78.1,14.5,19013,13.7,70.2,92000,222,13260,2.72,90.7,28,22.7,43096,23389,21.1,388,0,0,3139,8547,33.4,1100.28
Essex County,NY,38679,39370,-1.8,4.2,17.3,21,47.9,94.3,3.2,0.5,0.7,0,1.3,3.1,92,3694,4.9,87.5,23.3,25763,14.4,72.4,146600,94,15919,2.28,86.2,6.8,21.6,47380,26582,11.9,1256,0,178,4291,11338,21.9,1794.23
Armstrong County,PA,67785,68941,-1.7,5,19.7,20.1,50.4,97.9,0.9,0.1,0.3,0,0.8,0.7,97.3,6204,0.6,88.9,14.6,32384,10,76.5,94100,45,28525,2.37,90.8,1.7,27.9,45241,23661,13,395,3708,0,5321,7734,105.5,653.2
Custer County,CO,4361,4255,2.5,2.5,14.6,29,49.1,95.9,1.2,0.8,0.6,0,1.6,5.3,91.2,790,2.1,94.6,32.7,4167,5.1,80.6,216200,43,2048,2.06,84.1,5.9,34.7,32427,25761,14.6,55,0,0,587,14820,5.8,738.63
Jerauld County,SD,2007,2071,-3.1,6.7,23.2,24.9,49.7,98,0.2,0.5,0.2,0.1,0.9,4.9,93.3,178,2.7,84.8,15.4,1070,5.3,72.7,69900,1,882,2.28,85.8,4.8,13.6,46591,26590,12.2,0,0,0,205,10466,3.9,526.23
Swain County,NC,14274,13981,2.1,6.3,22.7,18.5,51.7,65.7,1.3,27.9,0.6,0,4.5,4.7,63.6,1096,2,82.1,16.3,8793,7.4,74.9,132500,50,5368,2.56,90.9,2.3,19.2,36094,19626,27.2,5615,0,23,1123,8417,26.5,528
Caroline County,VA,29778,28545,4.3,6.7,23.5,15.1,50.9,67,28.2,0.8,0.9,0.1,3.1,4.2,63.8,2747,2.8,80.9,16.8,11998,2.1,80.1,188400,73,10680,2.56,84.4,4.9,37.7,57218,25718,12.7,147,0,212,3659,13410,54.1,527.51
Bollinger County,MO,12394,12363,0.3,6,22.4,18,50,97.6,0.4,0.7,0.2,0,1,0.9,96.8,1111,0.6,79.7,10.9,5825,3.4,80.7,96600,0,4758,2.57,88.4,0.8,34.2,37716,19470,19.9,0,0,0,595,4912,20,617.91
Greer County,OK,6151,6239,-1.4,5.2,19.9,18.2,42.6,84.7,7.7,3.5,0.3,0.1,3.7,11.3,75.6,538,1,79.6,14.4,2734,4.2,67,63000,1,2246,2.24,81.3,7.4,22.1,39900,17969,9.9,16,0,40,280,4834,9.8,639.32
Polk County,NC,20357,20510,-0.7,3.6,17.3,27.5,52.2,92.9,4.5,0.6,0.6,0,1.4,5.6,88.1,2006,4.1,87,26.9,11462,9.3,74.2,170200,67,8788,2.28,91.6,5.2,24.9,44745,24611,16.7,155,1530,649,1103,5764,86.3,237.79
Griggs County,ND,2319,2420,-4.2,4.6,18.5,28.7,49,98.4,0.4,0.8,0.1,0,0.3,0.8,97.8,285,0.9,83.4,14.8,1463,10.8,76.3,61900,2,1149,2,87.1,2.3,15.8,45542,27197,7,0,0,380,111,4707,3.4,708.82
Ramsey County,ND,11564,11451,1,6.5,22.4,18.4,49.4,86.7,0.5,8.9,0.5,0.1,3.2,2.5,85.2,823,0.8,88.2,21,5777,26.4,64.6,89600,31,4826,2.28,89.6,3.1,12.1,48604,28081,12.1,217,0,2663,2342,20873,9.6,1186.85
Val Verde County,TX,48974,48879,0.2,8.3,28.9,13.8,49.2,95.2,2,0.9,0.8,0.2,1,80.4,16.8,2980,23.3,67,15.3,18803,15.9,66.7,91900,63,15082,3.14,85.3,72.2,18.8,40450,17867,22.1,589,0,392,5244,11036,15.5,3144.75
Bossier Parish,LA,125064,116979,6.9,7.4,25.3,12.8,50.4,73.4,21.7,0.7,1.8,0.2,2.3,6.4,67.9,12194,4.3,87.7,25.2,54045,18.4,67,146300,1347,45776,2.57,83.3,6.6,21.4,53248,27429,14.3,7117,0,10281,17419,15991,139.3,840.06
Franklin County,KS,25611,25992,-1.5,6.3,24.8,15.4,50.3,94.6,1.4,0.9,0.5,0,2.5,3.9,91.4,1891,1.2,90.7,20.2,11104,12.2,70.9,119700,31,9909,2.56,83.8,2.5,24.5,49543,22979,13.1,279,3840,1687,2342,8921,45.5,571.76
St. Lucie County,FL,291028,277789,5,5.2,20.8,22.6,51.2,75.1,20.2,0.6,1.9,0.1,2.1,17.6,59.5,26490,14.9,85.2,19.5,137339,20.5,73,122900,962,106060,2.62,83.5,20.5,28.3,43413,23285,18.4,2683,9164,6936,36976,14197,485.7,571.93
Lewis and Clark County,MT,65856,63395,3.9,5.9,21.8,16.2,50.8,94.1,0.5,2.2,0.7,0.1,2.4,3,91.6,6310,1.5,94.7,37.5,30594,18.9,72.3,203600,338,26555,2.35,83.6,3.6,17.6,56243,28400,10.4,1185,0,1995,9729,16180,18.3,3458.83
Taylor County,KY,25257,24512,3,6.3,22.1,17.3,51.5,92,5.2,0.2,0.8,0.1,1.7,2.2,90,1469,1.4,79.6,15.1,10961,10.7,69.8,96800,27,9708,2.43,84,3.9,20.1,36384,18790,21.7,253,3151,0,3719,15436,92,266.33
Turner County,SD,8272,8347,-0.9,6,23.2,20.5,49.6,97.1,0.5,1,0.2,0,1.1,2.2,95.5,693,0.4,90.2,19.4,3991,8.7,78.5,93200,15,3461,2.36,90.9,2.4,27.4,51925,25406,9.1,22,0,1665,523,6266,13.5,617.06
Washington County,WI,133251,131887,1,5.3,23,15.7,50.3,96.1,1.1,0.4,1.2,0,1.1,3,93.4,8853,2.7,92.5,27.6,55516,21.6,77.4,222900,337,52053,2.52,90.6,4.7,24.3,66159,32020,6.3,1529,33934,28004,17599,13729,306.2,430.7
Terrell County,TX,927,984,-5.8,5.8,20.1,23,46.8,91.8,1.9,2.8,2.4,0,1.1,48.9,46,62,9.9,74.5,17.4,700,1,72.2,57000,0,403,2.08,85.8,49.3,16.1,39479,31578,10,0,0,0,38,4226,0.4,2358.03
Richmond County,VA,8902,9254,-3.8,4,17.1,19.5,44.5,67,30,0.4,0.7,0,1.8,6.5,61.3,512,7.1,73.8,12.3,3905,7.2,74.9,155700,26,2853,2.56,89.4,9.5,28.8,47083,20875,12.8,0,0,0,756,8259,48.3,191.49
Delaware County,IN,117074,117671,-0.5,5.1,18.9,16,51.9,89.2,7.1,0.3,1.2,0.1,2.1,2.1,87.4,8635,2,86.9,22.5,52512,21,63.8,89600,98,46325,2.36,73.1,2.9,20.1,37474,20854,22.3,1608,12805,4240,15168,13156,300.1,392.12
Middlesex County,VA,10696,10959,-2.4,4.1,15.6,29,50.8,79.6,17.7,0.4,0.4,0,1.8,2.2,77.9,1259,2.7,89,27.4,7230,3.5,82,247100,39,4400,2.39,90.7,2.1,27.7,53309,30531,9.4,87,0,314,944,8879,84.1,130.31
Beaver County,OK,5486,5636,-2.7,5.5,25.3,17.2,50,94.3,0.9,2.1,0.3,0,2.4,22.8,73.3,319,11.3,83.8,17.9,2661,3.1,73.8,86200,0,2108,2.62,85,17.8,18.5,51422,26109,9.9,12,0,94,219,4123,3.1,1814.67
Fremont County,IA,7022,7441,-5.6,5.4,22,21.6,50.6,97.6,0.7,0.2,0.3,0,1.1,2.6,95.3,776,0.7,91.7,20.5,3445,5.7,77.5,94100,10,2965,2.4,89.5,1.5,22.7,50520,26930,10.2,148,0,1054,1029,13599,14.6,511.15
Navajo County,AZ,108101,107449,0.6,7.3,28,15.8,49.8,51,1.3,44.9,0.7,0.1,2,11.1,42.2,7144,2.6,80.6,14.9,57408,7.7,72,112200,191,34343,3.05,86.6,36.8,22.3,36927,16626,30.3,1914,0,2094,12374,11148,10.8,9950.42
Kent County,TX,785,808,-2.8,3.4,21.5,26.9,50.7,95.4,1.1,1.3,0,0.1,2,18.1,78.2,60,3.4,83.4,23.1,552,0,74.8,64300,0,401,2.15,80.3,6.7,10.5,46875,24839,8.6,0,0,0,0,0,0.9,902.51
Greenup County,KY,36308,36910,-1.6,5.4,21.9,19.1,51.5,97.1,1,0.3,0.5,0,1.1,1.1,96.2,2765,0.8,82.9,15.7,16296,6.7,76.4,92000,16,14465,2.51,89.8,1.4,23.7,44060,22035,17.9,210,0,35,3556,9483,107.2,344.4
Owen County,IN,20969,21575,-2.8,4.7,21.8,17.3,49.7,97.5,0.5,0.4,0.5,0,1.1,1.3,96.4,2049,1.1,83.2,11,9982,4.4,78.7,101900,18,8552,2.47,87.9,2.5,32.5,43950,21318,14,104,0,0,1063,4750,56,385.29
