County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Clinton,Indiana,0,Republican,0,1046,Democrat,59.1,0,Republican,0,0,Republican,0,3252,Republican,49.2,724,Democrat,40.9,0,Republican,0,474,Republican,7.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2637,Republican,39.9,0,,0,0,,0
Cass,Nebraska,0,Republican,0,151,Democrat,53.4,0,Republican,0,0,Republican,0,1811,Republican,60.6,132,Democrat,46.6,0,Republican,0,283,Republican,9.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,673,Republican,22.5,0,,0,0,,0
Walton,Georgia,1046,Republican,5.5,969,Democrat,29.4,0,Republican,0,0,Republican,0,7910,Republican,41.6,2309,Democrat,69.9,0,Republican,0,539,Republican,2.8,3440,Republican,18.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,5883,Republican,30.9,0,,0,0,,0
Norfolk,Massachusetts,38,Republican,2.2,956,Democrat,55.3,0,Republican,0,0,Republican,0,712,Republican,41.1,760,Democrat,43.9,0,Republican,0,420,Republican,24.2,363,Republican,21,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,153,Republican,8.8,6,,0.3,0,,0
Beaver,Pennsylvania,0,Republican,0,9563,Democrat,41.8,0,Republican,0,0,Republican,0,11178,Republican,57.5,12963,Democrat,56.7,0,Republican,0,3572,Republican,18.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4331,Republican,22.3,0,,0,0,,0
Linneus,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Kingsbury Plt.,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Sedgwick,Colorado,0,Republican,0,8,Democrat,38.1,0,Republican,0,0,Republican,0,0,Republican,0,13,Democrat,61.9,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Deer Isle,Maine,0,Republican,0,4,Democrat,66.7,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,33.3,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Enosburgh,Vermont,4,Republican,3.3,296,Democrat,91.4,0,Republican,0,0,Republican,0,42,Republican,34.1,28,Democrat,8.6,0,Republican,0,33,Republican,26.8,30,Republican,24.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,14,Republican,11.4,0,,0,0,,0
Clatsop,Oregon,0,Republican,0,3334,Democrat,55.9,0,Republican,0,0,Republican,0,2391,Republican,69.9,2628,Democrat,44.1,0,Republican,0,594,Republican,17.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,434,Republican,12.7,0,,0,0,,0
Forest,Pennsylvania,0,Republican,0,221,Democrat,45.9,0,Republican,0,0,Republican,0,597,Republican,63.7,251,Democrat,52.1,0,Republican,0,138,Republican,14.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,180,Republican,19.2,0,,0,0,,0
Barton,Missouri,0,Republican,0,214,Democrat,50.2,0,Republican,0,0,Republican,0,986,Republican,34.1,205,Democrat,48.1,0,Republican,0,170,Republican,5.9,103,Republican,3.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1560,Republican,53.9,0,,0,0,,0
McCurtain,Oklahoma,124,Republican,9.1,1314,Democrat,52.3,0,Republican,0,0,Republican,0,472,Republican,34.7,712,Democrat,28.3,0,Republican,0,41,Republican,3,221,Republican,16.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,473,Republican,34.8,0,,0,0,,0
Screven,Georgia,144,Republican,8.2,166,Democrat,17.5,0,Republican,0,0,Republican,0,801,Republican,45.8,771,Democrat,81.1,0,Republican,0,71,Republican,4.1,327,Republican,18.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,380,Republican,21.7,0,,0,0,,0
Humphreys,Mississippi,0,Republican,0,134,Democrat,4.4,0,Republican,0,0,Republican,0,433,Republican,54.1,2894,Democrat,94.2,0,Republican,0,62,Republican,7.7,48,Republican,6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,126,Republican,15.7,0,,0,0,,0
Fairfax,Virginia,4095,Republican,3.1,50217,Democrat,36.4,0,Republican,0,0,Republican,0,32751,Republican,25.1,86898,Democrat,63,0,Republican,0,22862,Republican,17.5,52257,Republican,40,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,16888,Republican,12.9,0,,0,0,,0
Boone,Arkansas,478,Republican,7.5,469,Democrat,38.5,0,Republican,0,0,Republican,0,2577,Republican,40.7,721,Democrat,59.2,0,Republican,0,267,Republican,4.2,1213,Republican,19.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1589,Republican,25.1,0,,0,0,,0
Essex,Vermont,103,Republican,4.9,3622,Democrat,86.6,0,Republican,0,0,Republican,0,488,Republican,23.4,549,Democrat,13.1,0,Republican,0,713,Republican,34.2,474,Republican,22.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,269,Republican,12.9,0,,0,0,,0
Highgate,Vermont,9,Republican,2.8,360,Democrat,87.4,0,Republican,0,0,Republican,0,142,Republican,44.1,52,Democrat,12.6,0,Republican,0,64,Republican,19.9,65,Republican,20.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,29,Republican,9,0,,0,0,,0
Guilford,Connecticut,0,Republican,0,1483,Democrat,44.7,0,Republican,0,0,Republican,0,973,Republican,52.7,1812,Democrat,54.6,0,Republican,0,588,Republican,31.8,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,244,Republican,13.2,0,,0,0,,0
Macon,Illinois,0,Republican,0,4990,Democrat,45.2,0,Republican,0,0,Republican,0,6655,Republican,40.3,5945,Democrat,53.8,0,Republican,0,1975,Republican,12,963,Republican,5.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,6574,Republican,39.8,0,,0,0,,0
Wheeler,Nebraska,0,Republican,0,3,Democrat,50,0,Republican,0,0,Republican,0,79,Republican,60.8,3,Democrat,50,0,Republican,0,15,Republican,11.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,20,Republican,15.4,0,,0,0,,0
Hunterdon,New Jersey,0,Republican,0,5047,Democrat,48.4,0,Republican,0,0,Republican,0,12450,Republican,75.9,5373,Democrat,51.6,0,Republican,0,3051,Republican,18.6,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,898,Republican,5.5,0,,0,0,,0
Auburn,Massachusetts,63,Republican,3.1,1443,Democrat,51.6,0,Republican,0,0,Republican,0,1013,Republican,50.1,1297,Democrat,46.4,0,Republican,0,332,Republican,16.4,330,Republican,16.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,230,Republican,11.4,29,,1,0,,0
Peabody,Massachusetts,148,Republican,2.2,4534,Democrat,46.5,0,Republican,0,0,Republican,0,4222,Republican,61.6,4986,Democrat,51.2,0,Republican,0,870,Republican,12.7,921,Republican,13.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,509,Republican,7.4,160,,1.6,0,,0
Dennis,Massachusetts,82,Republican,3.4,1457,Democrat,47.8,0,Republican,0,0,Republican,0,1204,Republican,49.9,1558,Democrat,51.1,0,Republican,0,465,Republican,19.3,370,Republican,15.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,216,Republican,9,13,,0.4,0,,0
Freetown,Massachusetts,37,Republican,3.2,692,Democrat,54.3,0,Republican,0,0,Republican,0,693,Republican,59.3,564,Democrat,44.2,0,Republican,0,124,Republican,10.6,191,Republican,16.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,100,Republican,8.6,12,,0.9,0,,0
Grant,Arkansas,125,Republican,3.9,300,Democrat,28.8,0,Republican,0,0,Republican,0,1010,Republican,31.2,690,Democrat,66.3,0,Republican,0,59,Republican,1.8,652,Republican,20.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1329,Republican,41.1,0,,0,0,,0
Framingham,Massachusetts,120,Republican,2.4,5196,Democrat,42.3,0,Republican,0,0,Republican,0,2176,Republican,44.3,6965,Democrat,56.8,0,Republican,0,1067,Republican,21.7,954,Republican,19.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,442,Republican,9,68,,0.6,0,,0
Bourne,Massachusetts,85,Republican,2.8,1616,Democrat,52.3,0,Republican,0,0,Republican,0,1717,Republican,57.4,1427,Democrat,46.2,0,Republican,0,443,Republican,14.8,414,Republican,13.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,258,Republican,8.6,25,,0.8,0,,0
Umatilla,Oregon,0,Republican,0,2289,Democrat,53.3,0,Republican,0,0,Republican,0,5065,Republican,70.4,2003,Democrat,46.7,0,Republican,0,875,Republican,12.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1252,Republican,17.4,0,,0,0,,0
Pepin,Wisconsin,0,Republican,0,560,Democrat,56.1,0,Republican,0,0,Republican,0,607,Republican,45.4,435,Democrat,43.6,0,Republican,0,154,Republican,11.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,546,Republican,40.8,0,,0,0,,0
DeKalb,Georgia,1772,Republican,4,32572,Democrat,28.3,0,Republican,0,0,Republican,0,11141,Republican,25.2,82348,Democrat,71.5,0,Republican,0,5563,Republican,12.6,18231,Republican,41.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,6805,Republican,15.4,0,,0,0,,0
Bon Homme,South Dakota,0,Republican,0,197,Democrat,46.7,0,Republican,0,0,Republican,0,343,Republican,67.5,225,Democrat,53.3,0,Republican,0,71,Republican,14,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,94,Republican,18.5,0,,0,0,,0
Sunflower,Mississippi,0,Republican,0,299,Democrat,11.3,0,Republican,0,0,Republican,0,897,Republican,61.1,2332,Democrat,87.8,0,Republican,0,163,Republican,11.1,71,Republican,4.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,306,Republican,20.8,0,,0,0,,0
Greene,Maine,0,Republican,0,5,Democrat,71.4,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,28.6,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Monroe,Iowa,25,Republican,4.6,133,Democrat,44.6,4,Republican,0.7,2,Republican,0.4,170,Republican,31.4,129,Democrat,43.3,3,Republican,0.6,4,Republican,0.7,97,Republican,17.9,36,Democrat,12.1,18,Republican,3.3,23,Republican,4.3,0,Republican,0,195,Republican,36,0,,0,0,,0
Midland,Michigan,0,Republican,0,4568,Democrat,58.7,0,Republican,0,0,Republican,0,3909,Republican,27.8,3097,Democrat,39.8,0,Republican,0,3366,Republican,23.9,1506,Republican,10.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4720,Republican,33.5,0,,0,0,,0
Ouachita,Arkansas,156,Republican,5.7,525,Democrat,18.8,0,Republican,0,0,Republican,0,1006,Republican,36.7,2095,Democrat,75.1,0,Republican,0,61,Republican,2.2,662,Republican,24.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,789,Republican,28.8,0,,0,0,,0
Franklin,Pennsylvania,0,Republican,0,4273,Democrat,47,0,Republican,0,0,Republican,0,15631,Republican,57.7,4700,Democrat,51.7,0,Republican,0,3660,Republican,13.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,6937,Republican,25.6,0,,0,0,,0
Coconino,Arizona,0,Republican,0,6941,Democrat,53.4,0,Republican,0,0,Republican,0,3324,Republican,39.2,5738,Democrat,44.1,0,Republican,0,742,Republican,8.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2843,Republican,33.5,0,,0,0,,0
Lisbon,Connecticut,0,Republican,0,231,Democrat,59.1,0,Republican,0,0,Republican,0,189,Republican,60.6,145,Democrat,37.1,0,Republican,0,79,Republican,25.3,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,36,Republican,11.5,0,,0,0,,0
Coshocton,Ohio,0,Republican,0,1128,Democrat,44.5,0,Republican,0,0,Republican,0,2747,Republican,42.1,1358,Democrat,53.6,0,Republican,0,2621,Republican,40.2,148,Republican,2.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,874,Republican,13.4,0,,0,0,,0
Calhoun,Illinois,0,Republican,0,503,Democrat,50.7,0,Republican,0,0,Republican,0,329,Republican,48.5,446,Democrat,45,0,Republican,0,50,Republican,7.4,40,Republican,5.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,247,Republican,36.4,0,,0,0,,0
Wibaux,Montana,0,Republican,0,16,Democrat,26.7,0,Republican,0,0,Republican,0,231,Republican,76,36,Democrat,60,0,Republican,0,21,Republican,6.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,25,Republican,8.2,0,,0,0,,0
Carroll,Georgia,1261,Republican,7,1933,Democrat,37.6,0,Republican,0,0,Republican,0,7495,Republican,41.7,3173,Democrat,61.7,0,Republican,0,650,Republican,3.6,3375,Republican,18.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4997,Republican,27.8,0,,0,0,,0
Falmouth,Massachusetts,113,Republican,2.6,3589,Democrat,48.9,0,Republican,0,0,Republican,0,2170,Republican,49.9,3679,Democrat,50.2,0,Republican,0,844,Republican,19.4,677,Republican,15.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,406,Republican,9.3,37,,0.5,0,,0
Racine,Wisconsin,0,Republican,0,14651,Democrat,50.8,0,Republican,0,0,Republican,0,11756,Republican,32.1,14086,Democrat,48.9,0,Republican,0,5269,Republican,14.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,18698,Republican,51.1,0,,0,0,,0
Uintah,Utah,0,Republican,0,135,Democrat,76.3,0,Republican,0,0,Republican,0,575,Republican,19.8,39,Democrat,22,0,Republican,0,184,Republican,6.3,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2144,Republican,73.9,0,,0,0,,0
Mason,West Virginia,0,Republican,0,1769,Democrat,51.6,0,Republican,0,0,Republican,0,2484,Republican,75.1,1221,Democrat,35.6,0,Republican,0,297,Republican,9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,254,Republican,7.7,0,,0,0,,0
The Forks Plt.,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Acton,Massachusetts,54,Republican,2.3,2557,Democrat,46.8,0,Republican,0,0,Republican,0,656,Republican,28.2,2884,Democrat,52.8,0,Republican,0,754,Republican,32.5,578,Republican,24.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,203,Republican,8.7,13,,0.2,0,,0
Livingston,New York,0,Republican,0,2410,Democrat,59.9,0,Republican,0,0,Republican,0,3744,Republican,56.8,1611,Democrat,40.1,0,Republican,0,1603,Republican,24.3,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1247,Republican,18.9,0,,0,0,,0
Lehigh,Pennsylvania,0,Republican,0,17742,Democrat,47,0,Republican,0,0,Republican,0,20891,Republican,55.7,19767,Democrat,52.4,0,Republican,0,7064,Republican,18.8,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,8810,Republican,23.5,0,,0,0,,0
Boone,Indiana,0,Republican,0,2555,Democrat,55.2,0,Republican,0,0,Republican,0,7023,Republican,45.7,2075,Democrat,44.8,0,Republican,0,1728,Republican,11.3,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,6223,Republican,40.5,0,,0,0,,0
Richland,Illinois,0,Republican,0,543,Democrat,53.6,0,Republican,0,0,Republican,0,1469,Republican,48.4,448,Democrat,44.2,0,Republican,0,411,Republican,13.5,166,Republican,5.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,865,Republican,28.5,0,,0,0,,0
Barry,Missouri,0,Republican,0,796,Democrat,47,0,Republican,0,0,Republican,0,3030,Republican,43.1,874,Democrat,51.6,0,Republican,0,400,Republican,5.7,255,Republican,3.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,3189,Republican,45.4,0,,0,0,,0
Wellington,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Charlotte,Florida,0,Republican,0,4634,Democrat,35.4,0,Republican,0,0,Republican,0,16525,Republican,54.8,8125,Democrat,62.1,0,Republican,0,2314,Republican,7.7,6106,Republican,20.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4214,Republican,14,0,,0,0,,0
Ada,Idaho,0,Republican,0,7336,Democrat,80.5,0,Republican,0,0,Republican,0,15191,Republican,30.4,1663,Democrat,18.2,0,Republican,0,5306,Republican,10.6,8074,Republican,16.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,20156,Republican,40.3,0,,0,0,,0
Cass,Missouri,0,Republican,0,4185,Democrat,52.1,0,Republican,0,0,Republican,0,6886,Republican,39,3765,Democrat,46.8,0,Republican,0,1648,Republican,9.3,1064,Republican,6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,7671,Republican,43.4,0,,0,0,,0
Cibola,New Mexico,0,Republican,0,1494,Democrat,48.5,0,Republican,0,0,Republican,0,676,Republican,71.9,1586,Democrat,51.5,0,Republican,0,40,Republican,4.3,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,150,Republican,16,0,,0,0,,0
Randolph,Missouri,0,Republican,0,750,Democrat,52,0,Republican,0,0,Republican,0,1887,Republican,45.5,647,Democrat,44.9,0,Republican,0,299,Republican,7.2,195,Republican,4.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1659,Republican,40,0,,0,0,,0
Mount Vernon,Maine,0,Republican,0,3,Democrat,60,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,40,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Washington,Arkansas,1541,Republican,5.3,8507,Democrat,47.9,0,Republican,0,0,Republican,0,7968,Republican,27.5,9110,Democrat,51.3,0,Republican,0,1291,Republican,4.5,8730,Republican,30.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,8890,Republican,30.7,0,,0,0,,0
Holden,Massachusetts,99,Republican,3.4,1915,Democrat,55.6,0,Republican,0,0,Republican,0,1241,Republican,42,1491,Democrat,43.3,0,Republican,0,495,Republican,16.8,608,Republican,20.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,434,Republican,14.7,20,,0.6,0,,0
Lawrence,Mississippi,0,Republican,0,179,Democrat,13.7,0,Republican,0,0,Republican,0,1201,Republican,55.8,1112,Democrat,85,0,Republican,0,98,Republican,4.6,91,Republican,4.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,717,Republican,33.3,0,,0,0,,0
Granville,Vermont,0,Republican,0,86,Democrat,94.5,0,Republican,0,0,Republican,0,4,Republican,33.3,5,Democrat,5.5,0,Republican,0,5,Republican,41.7,2,Republican,16.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Brockton,Massachusetts,132,Republican,3.2,4469,Democrat,35.1,0,Republican,0,0,Republican,0,2590,Republican,62.7,8054,Democrat,63.3,0,Republican,0,413,Republican,10,500,Republican,12.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,361,Republican,8.7,128,,1,0,,0
Adams,Massachusetts,11,Republican,2.4,765,Democrat,51.3,0,Republican,0,0,Republican,0,249,Republican,55,702,Democrat,47.1,0,Republican,0,64,Republican,14.1,80,Republican,17.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,43,Republican,9.5,18,,1.2,0,,0
Wirt,West Virginia,0,Republican,0,326,Democrat,56,0,Republican,0,0,Republican,0,431,Republican,75,170,Democrat,29.2,0,Republican,0,45,Republican,7.8,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,59,Republican,10.3,0,,0,0,,0
Live Oak,Texas,64,Republican,3,72,Democrat,24,0,Republican,0,0,Republican,0,679,Republican,31.6,203,Democrat,67.7,0,Republican,0,44,Republican,2,216,Republican,10.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1081,Republican,50.3,0,,0,0,,0
Page,Iowa,157,Republican,18,202,Democrat,50.6,8,Republican,0.9,4,Republican,0.5,232,Republican,26.6,197,Democrat,49.4,25,Republican,2.9,12,Republican,1.4,156,Republican,17.9,0,Democrat,0,9,Republican,1,13,Republican,1.5,7,Republican,0.8,249,Republican,28.5,0,,0,0,,0
Stevens,Washington,0,Republican,0,101,Democrat,80.8,0,Republican,0,0,Republican,0,5075,Republican,80.6,23,Democrat,18.4,0,Republican,0,292,Republican,4.6,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,657,Republican,10.4,0,,0,0,,0
Botetourt,Virginia,440,Republican,7.2,695,Democrat,43.6,0,Republican,0,0,Republican,0,2185,Republican,35.6,888,Democrat,55.7,0,Republican,0,322,Republican,5.2,1519,Republican,24.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1620,Republican,26.4,0,,0,0,,0
Payette,Idaho,0,Republican,0,91,Democrat,66.4,0,Republican,0,0,Republican,0,1289,Republican,38.3,46,Democrat,33.6,0,Republican,0,217,Republican,6.5,396,Republican,11.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1364,Republican,40.6,0,,0,0,,0
Medway,Maine,0,Republican,0,3,Democrat,75,0,Republican,0,0,Republican,0,0,Republican,0,1,Democrat,25,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Ashland,Wisconsin,0,Republican,0,2304,Democrat,63,0,Republican,0,0,Republican,0,1367,Republican,53.8,1346,Democrat,36.8,0,Republican,0,307,Republican,12.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,795,Republican,31.3,0,,0,0,,0
Matagorda,Texas,126,Republican,2.9,344,Democrat,23.4,0,Republican,0,0,Republican,0,1470,Republican,33.8,1088,Democrat,74.2,0,Republican,0,81,Republican,1.9,514,Republican,11.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2109,Republican,48.5,0,,0,0,,0
Essex,New York,0,Republican,0,1932,Democrat,73.2,0,Republican,0,0,Republican,0,1796,Republican,49.9,708,Democrat,26.8,0,Republican,0,1184,Republican,32.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,616,Republican,17.1,0,,0,0,,0
Avon,Massachusetts,11,Republican,2,402,Democrat,48.9,0,Republican,0,0,Republican,0,370,Republican,67.4,400,Democrat,48.7,0,Republican,0,56,Republican,10.2,69,Republican,12.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,34,Republican,6.2,8,,1,0,,0
Armstrong,Pennsylvania,0,Republican,0,3015,Democrat,49.7,0,Republican,0,0,Republican,0,7578,Republican,67.2,2924,Democrat,48.2,0,Republican,0,1309,Republican,11.6,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2154,Republican,19.1,0,,0,0,,0
Beals,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Custer,Colorado,0,Republican,0,45,Democrat,57,0,Republican,0,0,Republican,0,0,Republican,0,34,Democrat,43,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Jerauld,South Dakota,0,Republican,0,65,Democrat,40.4,0,Republican,0,0,Republican,0,90,Republican,59.6,96,Democrat,59.6,0,Republican,0,30,Republican,19.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,31,Republican,20.5,0,,0,0,,0
Swain,North Carolina,0,Republican,0,831,Democrat,51.2,0,Republican,0,0,Republican,0,621,Republican,45.5,666,Democrat,41,0,Republican,0,132,Republican,9.7,115,Republican,8.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,449,Republican,32.9,0,,0,0,,0
Caroline,Virginia,274,Republican,8.5,641,Democrat,25,0,Republican,0,0,Republican,0,1446,Republican,44.7,1902,Democrat,74.3,0,Republican,0,148,Republican,4.6,746,Republican,23,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,580,Republican,17.9,0,,0,0,,0
Bollinger,Missouri,0,Republican,0,203,Democrat,45.1,0,Republican,0,0,Republican,0,1272,Republican,47.6,242,Democrat,53.8,0,Republican,0,141,Republican,5.3,98,Republican,3.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1111,Republican,41.6,0,,0,0,,0
Greer,Oklahoma,21,Republican,7.2,332,Democrat,55.8,0,Republican,0,0,Republican,0,111,Republican,37.9,164,Democrat,27.6,0,Republican,0,8,Republican,2.7,57,Republican,19.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,91,Republican,31.1,0,,0,0,,0
