County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Mitchell,Iowa,61,Republican,13,135,Democrat,33.8,55,Republican,11.7,4,Republican,0.8,120,Republican,25.5,260,Democrat,65,10,Republican,2.1,3,Republican,0.6,56,Republican,11.9,5,Democrat,1.3,11,Republican,2.3,34,Republican,7.2,3,Republican,0.6,114,Republican,24.2,0,,0,0,,0
Webster,West Virginia,0,Republican,0,837,Democrat,54,0,Republican,0,0,Republican,0,423,Republican,84.9,384,Democrat,24.8,0,Republican,0,18,Republican,3.6,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,30,Republican,6,0,,0,0,,0
Doddridge,West Virginia,0,Republican,0,235,Democrat,58.9,0,Republican,0,0,Republican,0,1222,Republican,77.6,115,Democrat,28.8,0,Republican,0,96,Republican,6.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,140,Republican,8.9,0,,0,0,,0
Mason,Michigan,0,Republican,0,1741,Democrat,57.7,0,Republican,0,0,Republican,0,1785,Republican,35.6,1223,Democrat,40.6,0,Republican,0,993,Republican,19.8,458,Republican,9.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1546,Republican,30.8,0,,0,0,,0
Wayne,Nebraska,0,Republican,0,52,Democrat,47.3,0,Republican,0,0,Republican,0,706,Republican,56.5,58,Democrat,52.7,0,Republican,0,149,Republican,11.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,244,Republican,19.5,0,,0,0,,0
Marshall,South Dakota,0,Republican,0,169,Democrat,37.1,0,Republican,0,0,Republican,0,163,Republican,61.5,287,Democrat,62.9,0,Republican,0,60,Republican,22.6,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,42,Republican,15.8,0,,0,0,,0
Ritchie,West Virginia,0,Republican,0,351,Democrat,58,0,Republican,0,0,Republican,0,1740,Republican,79.3,199,Democrat,32.9,0,Republican,0,114,Republican,5.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,168,Republican,7.7,0,,0,0,,0
Monticello,Maine,0,Republican,0,1,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,1,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
North Adams,Massachusetts,19,Republican,3.3,1334,Democrat,57.7,0,Republican,0,0,Republican,0,275,Republican,48.2,953,Democrat,41.2,0,Republican,0,77,Republican,13.5,106,Republican,18.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,76,Republican,13.3,20,,0.9,0,,0
Somerset,Pennsylvania,0,Republican,0,3205,Democrat,49.6,0,Republican,0,0,Republican,0,9062,Republican,64,3112,Democrat,48.2,0,Republican,0,1540,Republican,10.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,3158,Republican,22.3,0,,0,0,,0
